id,slug,title,ministry,state,category,is_central,benefit_summary,rules_count,docs_count,application_url,description,last_verified_at
1146,kerala-solar-krishi-pump-subsidy,Kerala Solar Krishi Pump Subsidy,"Department of Agriculture & Farmers Welfare, Kerala",Kerala,Agriculture,0,Solar Krishi Pump Subsidy,3,3,https://serviceonline.gov.in/kerala,Up to 90% capital subsidy for installing off-grid solar irrigation pumps. Implemented by Kerala government for citizen welfare.,2026-08-01
1040,karnataka-self-employment-micro-credit-guarantee,Karnataka Self-Employment Micro-Credit Guarantee,"Department of Skill Development & Employment, Karnataka",Karnataka,Employment & Skills,0,Self-Employment Micro-Credit Guarantee,3,3,https://serviceonline.gov.in/karnataka,Collateral-free subsidized loan up to ₹5 Lakh for starting local enterprises. Implemented by Karnataka government for citizen welfare.,2026-08-01
1041,karnataka-pucca-house-construction-subsidy,Karnataka Pucca House Construction Subsidy,"Department of Housing & Urban Development, Karnataka",Karnataka,Housing,0,Pucca House Construction Subsidy,2,4,https://serviceonline.gov.in/karnataka,Direct installment financial grant for building disaster-resilient pucca home. Implemented by Karnataka government for citizen welfare.,2026-08-01
1042,karnataka-rooftop-solar-green-energy-assistance,Karnataka Rooftop Solar & Green Energy Assistance,"Department of Housing & Urban Development, Karnataka",Karnataka,Housing,0,Rooftop Solar & Green Energy Assistance,2,4,https://serviceonline.gov.in/karnataka,Capital subsidy for grid-connected rooftop solar installation for homeowners. Implemented by Karnataka government for citizen welfare.,2026-08-01
1043,karnataka-slum-rehabilitation-ews-flat-allocation,Karnataka Slum Rehabilitation & EWS Flat Allocation,"Department of Housing & Urban Development, Karnataka",Karnataka,Housing,0,Slum Rehabilitation & EWS Flat Allocation,2,4,https://serviceonline.gov.in/karnataka,Subsidized ownership allotment of 1BHK flats with basic civic amenities. Implemented by Karnataka government for citizen welfare.,2026-08-01
1044,karnataka-rural-toilet-water-tap-incentive,Karnataka Rural Toilet & Water Tap Incentive,"Department of Housing & Urban Development, Karnataka",Karnataka,Housing,0,Rural Toilet & Water Tap Incentive,2,4,https://serviceonline.gov.in/karnataka,Financial assistance for individual household latrines and clean piped tap. Implemented by Karnataka government for citizen welfare.,2026-08-01
1045,karnataka-micro-enterprise-collateral-free-loan,Karnataka Micro Enterprise Collateral-Free Loan,"Department of MSME & Industries, Karnataka",Karnataka,Business & Finance,0,Micro Enterprise Collateral-Free Loan,3,4,https://serviceonline.gov.in/karnataka,Guaranteed working capital and equipment loan up to ₹10 Lakh at subsidized interest. Implemented by Karnataka government for citizen welfare.,2026-08-01
1046,karnataka-women-entrepreneur-startup-grant,Karnataka Women Entrepreneur Startup Grant,"Department of MSME & Industries, Karnataka",Karnataka,Business & Finance,0,Women Entrepreneur Startup Grant,3,4,https://serviceonline.gov.in/karnataka,Seed funding capital grant for innovative women-founded MSME ventures. Implemented by Karnataka government for citizen welfare.,2026-08-01
1047,karnataka-export-promotion-quality-certification-subsidy,Karnataka Export Promotion & Quality Certification Subsidy,"Department of MSME & Industries, Karnataka",Karnataka,Business & Finance,0,Export Promotion & Quality Certification Subsidy,3,4,https://serviceonline.gov.in/karnataka,"Reimbursement for ISO, ZED, and international trade mark registration costs. Implemented by Karnataka government for citizen welfare.",2026-08-01
1048,karnataka-credit-linked-capital-subsidy-for-tech-upgradation,Karnataka Credit Linked Capital Subsidy for Tech Upgradation,"Department of MSME & Industries, Karnataka",Karnataka,Business & Finance,0,Credit Linked Capital Subsidy for Tech Upgradation,3,4,https://serviceonline.gov.in/karnataka,15% upfront capital subsidy for machinery modernization in manufacturing. Implemented by Karnataka government for citizen welfare.,2026-08-01
1049,karnataka-e-vehicle-green-mobility-subsidy,Karnataka E-Vehicle & Green Mobility Subsidy,"Department of Environment, Forests & Climate, Karnataka",Karnataka,General,0,E-Vehicle & Green Mobility Subsidy,2,3,https://serviceonline.gov.in/karnataka,Direct cash incentive on purchase of electric 2-wheelers and 3-wheelers. Implemented by Karnataka government for citizen welfare.,2026-08-01
1050,karnataka-rainwater-harvesting-ground-water-recharge-grant,Karnataka Rainwater Harvesting & Ground Water Recharge Grant,"Department of Environment, Forests & Climate, Karnataka",Karnataka,General,0,Rainwater Harvesting & Ground Water Recharge Grant,2,3,https://serviceonline.gov.in/karnataka,Subsidized rooftop rainwater harvesting system for individual residences. Implemented by Karnataka government for citizen welfare.,2026-08-01
1051,karnataka-bio-gas-cattle-dung-renewable-plant-subsidy,Karnataka Bio-Gas & Cattle Dung Renewable Plant Subsidy,"Department of Environment, Forests & Climate, Karnataka",Karnataka,General,0,Bio-Gas & Cattle Dung Renewable Plant Subsidy,3,3,https://serviceonline.gov.in/karnataka,Financial support for installing domestic Gobar-Dhan biogas units. Implemented by Karnataka government for citizen welfare.,2026-08-01
1052,karnataka-phase-2-kisan-samriddhi-crop-assistance,Karnataka Phase-2 Kisan Samriddhi & Crop Assistance,"Department of Agriculture & Farmers Welfare, Karnataka",Karnataka,Agriculture,0,Kisan Samriddhi & Crop Assistance,3,3,https://serviceonline.gov.in/karnataka,"Financial input subsidy for seed, fertilizer, and organic cultivation equipment. Implemented by Karnataka government for citizen welfare.",2026-08-01
1053,karnataka-phase-2-solar-krishi-pump-subsidy,Karnataka Phase-2 Solar Krishi Pump Subsidy,"Department of Agriculture & Farmers Welfare, Karnataka",Karnataka,Agriculture,0,Solar Krishi Pump Subsidy,3,3,https://serviceonline.gov.in/karnataka,Up to 90% capital subsidy for installing off-grid solar irrigation pumps. Implemented by Karnataka government for citizen welfare.,2026-08-01
1054,karnataka-phase-2-horticulture-drip-irrigation-grant,Karnataka Phase-2 Horticulture & Drip Irrigation Grant,"Department of Agriculture & Farmers Welfare, Karnataka",Karnataka,Agriculture,0,Horticulture & Drip Irrigation Grant,3,3,https://serviceonline.gov.in/karnataka,"Direct subsidy for drip, sprinkler, and precision micro-irrigation installation. Implemented by Karnataka government for citizen welfare.",2026-08-01
1147,kerala-horticulture-drip-irrigation-grant,Kerala Horticulture & Drip Irrigation Grant,"Department of Agriculture & Farmers Welfare, Kerala",Kerala,Agriculture,0,Horticulture & Drip Irrigation Grant,3,3,https://serviceonline.gov.in/kerala,"Direct subsidy for drip, sprinkler, and precision micro-irrigation installation. Implemented by Kerala government for citizen welfare.",2026-08-01
1055,karnataka-phase-2-dairy-cattle-development-incentive,Karnataka Phase-2 Dairy & Cattle Development Incentive,"Department of Agriculture & Farmers Welfare, Karnataka",Karnataka,Agriculture,0,Dairy & Cattle Development Incentive,3,3,https://serviceonline.gov.in/karnataka,Financial assistance for purchasing high-yield milch cows and buffaloes. Implemented by Karnataka government for citizen welfare.,2026-08-01
1056,karnataka-phase-2-fodder-cultivation-animal-care-grant,Karnataka Phase-2 Fodder Cultivation & Animal Care Grant,"Department of Agriculture & Farmers Welfare, Karnataka",Karnataka,Agriculture,0,Fodder Cultivation & Animal Care Grant,3,3,https://serviceonline.gov.in/karnataka,"Subsidized silage, quality seeds, and livestock health vaccination support. Implemented by Karnataka government for citizen welfare.",2026-08-01
1057,karnataka-phase-2-fisheries-pond-biofloc-support,Karnataka Phase-2 Fisheries Pond & Biofloc Support,"Department of Agriculture & Farmers Welfare, Karnataka",Karnataka,Agriculture,0,Fisheries Pond & Biofloc Support,3,3,https://serviceonline.gov.in/karnataka,"Capital grant for biofloc fish farming, fingerling supply, and aerators. Implemented by Karnataka government for citizen welfare.",2026-08-01
1058,karnataka-phase-2-soil-health-organic-farming-mission,Karnataka Phase-2 Soil Health & Organic Farming Mission,"Department of Agriculture & Farmers Welfare, Karnataka",Karnataka,Agriculture,0,Soil Health & Organic Farming Mission,3,3,https://serviceonline.gov.in/karnataka,Free soil nutrient testing kit and bio-compost financial top-up grant. Implemented by Karnataka government for citizen welfare.,2026-08-01
1059,karnataka-phase-2-farm-mechanization-rotavator-subsidy,Karnataka Phase-2 Farm Mechanization & Rotavator Subsidy,"Department of Agriculture & Farmers Welfare, Karnataka",Karnataka,Agriculture,0,Farm Mechanization & Rotavator Subsidy,3,3,https://serviceonline.gov.in/karnataka,"Up to 50% subsidy on modern harvesters, rotavators, and custom hiring centers. Implemented by Karnataka government for citizen welfare.",2026-08-01
1060,karnataka-phase-2-post-matric-merit-scholarship,Karnataka Phase-2 Post-Matric Merit Scholarship,"Department of Higher & School Education, Karnataka",Karnataka,Education,0,Post-Matric Merit Scholarship,3,4,https://serviceonline.gov.in/karnataka,Tuition fee waiver and maintenance stipend for higher collegiate education. Implemented by Karnataka government for citizen welfare.,2026-08-01
1061,karnataka-phase-2-free-digital-tablet-laptop-distribution,Karnataka Phase-2 Free Digital Tablet & Laptop Distribution,"Department of Higher & School Education, Karnataka",Karnataka,Education,0,Free Digital Tablet & Laptop Distribution,3,4,https://serviceonline.gov.in/karnataka,High-speed digital learning devices distributed to meritorious board students. Implemented by Karnataka government for citizen welfare.,2026-08-01
1062,karnataka-phase-2-competitive-exam-coaching-assistance,Karnataka Phase-2 Competitive Exam Coaching Assistance,"Department of Higher & School Education, Karnataka",Karnataka,Education,0,Competitive Exam Coaching Assistance,3,4,https://serviceonline.gov.in/karnataka,"100% sponsored classroom coaching for UPSC, PSC, JEE, and NEET exams. Implemented by Karnataka government for citizen welfare.",2026-08-01
1063,karnataka-phase-2-girl-child-higher-education-incentive,Karnataka Phase-2 Girl Child Higher Education Incentive,"Department of Higher & School Education, Karnataka",Karnataka,Education,0,Girl Child Higher Education Incentive,3,4,https://serviceonline.gov.in/karnataka,Direct milestone grant upon enrolling in undergraduate degree programs. Implemented by Karnataka government for citizen welfare.,2026-08-01
1064,karnataka-phase-2-technical-polytechnic-skill-stipend,Karnataka Phase-2 Technical & Polytechnic Skill Stipend,"Department of Higher & School Education, Karnataka",Karnataka,Education,0,Technical & Polytechnic Skill Stipend,3,4,https://serviceonline.gov.in/karnataka,Monthly allowance for students pursuing diploma and industrial training. Implemented by Karnataka government for citizen welfare.,2026-08-01
1065,karnataka-phase-2-overseas-education-scholarship-for-ews,Karnataka Phase-2 Overseas Education Scholarship for EWS,"Department of Higher & School Education, Karnataka",Karnataka,Education,0,Overseas Education Scholarship for EWS,3,4,https://serviceonline.gov.in/karnataka,Educational loan interest subsidy for foreign universities. Implemented by Karnataka government for citizen welfare.,2026-08-01
1066,karnataka-phase-2-special-education-aid-for-divyang-students,Karnataka Phase-2 Special Education Aid for Divyang Students,"Department of Higher & School Education, Karnataka",Karnataka,Education,0,Special Education Aid for Divyang Students,3,4,https://serviceonline.gov.in/karnataka,"Assistive braille, hearing aids, and transport allowance for disabled students. Implemented by Karnataka government for citizen welfare.",2026-08-01
1067,karnataka-phase-2-matru-kalyan-nutrition-dbt,Karnataka Phase-2 Matru Kalyan & Nutrition DBT,"Department of Women & Child Development, Karnataka",Karnataka,Women & Child,0,Matru Kalyan & Nutrition DBT,2,4,https://serviceonline.gov.in/karnataka,Conditional cash transfer across pregnancy trimesters and post-natal care. Implemented by Karnataka government for citizen welfare.,2026-08-01
1068,karnataka-phase-2-mahila-swavalamban-livelihood-grant,Karnataka Phase-2 Mahila Swavalamban Livelihood Grant,"Department of Women & Child Development, Karnataka",Karnataka,Women & Child,0,Mahila Swavalamban Livelihood Grant,2,4,https://serviceonline.gov.in/karnataka,Revolving seed fund for women Self-Help Groups (SHGs) to start enterprises. Implemented by Karnataka government for citizen welfare.,2026-08-01
1069,karnataka-phase-2-kanya-vivah-marriage-assistance,Karnataka Phase-2 Kanya Vivah & Marriage Assistance,"Department of Women & Child Development, Karnataka",Karnataka,Women & Child,0,Kanya Vivah & Marriage Assistance,2,4,https://serviceonline.gov.in/karnataka,Direct financial grant for marriage of daughters from economically weaker families. Implemented by Karnataka government for citizen welfare.,2026-08-01
1148,kerala-dairy-cattle-development-incentive,Kerala Dairy & Cattle Development Incentive,"Department of Agriculture & Farmers Welfare, Kerala",Kerala,Agriculture,0,Dairy & Cattle Development Incentive,3,3,https://serviceonline.gov.in/kerala,Financial assistance for purchasing high-yield milch cows and buffaloes. Implemented by Kerala government for citizen welfare.,2026-08-01
1070,karnataka-phase-2-working-women-hostel-transport-subsidy,Karnataka Phase-2 Working Women Hostel & Transport Subsidy,"Department of Women & Child Development, Karnataka",Karnataka,Women & Child,0,Working Women Hostel & Transport Subsidy,2,4,https://serviceonline.gov.in/karnataka,Subsidized secure safe housing and monthly urban commute pass. Implemented by Karnataka government for citizen welfare.,2026-08-01
1071,karnataka-phase-2-single-mother-destitute-women-pension,Karnataka Phase-2 Single Mother & Destitute Women Pension,"Department of Women & Child Development, Karnataka",Karnataka,Women & Child,0,Single Mother & Destitute Women Pension,2,4,https://serviceonline.gov.in/karnataka,Monthly social security pension for widowed and abandoned women. Implemented by Karnataka government for citizen welfare.,2026-08-01
1072,karnataka-phase-2-sukanya-samriddhi-high-interest-top-up,Karnataka Phase-2 Sukanya Samriddhi High-Interest Top-Up,"Department of Women & Child Development, Karnataka",Karnataka,Women & Child,0,Sukanya Samriddhi High-Interest Top-Up,2,4,https://serviceonline.gov.in/karnataka,State government interest subsidy top-up on girl child savings accounts. Implemented by Karnataka government for citizen welfare.,2026-08-01
1073,karnataka-phase-2-universal-cashless-health-insurance,Karnataka Phase-2 Universal Cashless Health Insurance,"Department of Health & Family Welfare, Karnataka",Karnataka,Healthcare,0,Universal Cashless Health Insurance,2,3,https://serviceonline.gov.in/karnataka,Annual cashless hospitalization and surgical treatment cover in network hospitals. Implemented by Karnataka government for citizen welfare.,2026-08-01
1074,karnataka-phase-2-critical-illness-relief-fund-cancer-kidney,Karnataka Phase-2 Critical Illness Relief Fund (Cancer & Kidney),"Department of Health & Family Welfare, Karnataka",Karnataka,Healthcare,0,Critical Illness Relief Fund (Cancer & Kidney),2,3,https://serviceonline.gov.in/karnataka,"One-time financial relief grant for dialysis, chemotherapy, and heart surgery. Implemented by Karnataka government for citizen welfare.",2026-08-01
1075,karnataka-phase-2-free-diagnostic-tests-medicine-scheme,Karnataka Phase-2 Free Diagnostic Tests & Medicine Scheme,"Department of Health & Family Welfare, Karnataka",Karnataka,Healthcare,0,Free Diagnostic Tests & Medicine Scheme,2,3,https://serviceonline.gov.in/karnataka,100% free prescription drugs and pathology tests at government clinics. Implemented by Karnataka government for citizen welfare.,2026-08-01
1076,karnataka-phase-2-senior-citizen-specialized-geriatric-care,Karnataka Phase-2 Senior Citizen Specialized Geriatric Care,"Department of Health & Family Welfare, Karnataka",Karnataka,Healthcare,0,Senior Citizen Specialized Geriatric Care,2,3,https://serviceonline.gov.in/karnataka,"Free cataract surgeries, hearing aids, and doorstep chronic care medicine. Implemented by Karnataka government for citizen welfare.",2026-08-01
1077,karnataka-phase-2-emergency-accidental-trauma-insurance,Karnataka Phase-2 Emergency Accidental Trauma Insurance,"Department of Health & Family Welfare, Karnataka",Karnataka,Healthcare,0,Emergency Accidental Trauma Insurance,2,3,https://serviceonline.gov.in/karnataka,Immediate cashless golden-hour emergency trauma care coverage. Implemented by Karnataka government for citizen welfare.,2026-08-01
1078,karnataka-phase-2-old-age-social-security-pension,Karnataka Phase-2 Old Age Social Security Pension,"Department of Social Justice & Empowerment, Karnataka",Karnataka,Social Welfare,0,Old Age Social Security Pension,2,4,https://serviceonline.gov.in/karnataka,Monthly direct benefit transfer pension for elderly citizens aged 60 and above. Implemented by Karnataka government for citizen welfare.,2026-08-01
1079,karnataka-phase-2-divyangjan-disability-monthly-pension,Karnataka Phase-2 Divyangjan Disability Monthly Pension,"Department of Social Justice & Empowerment, Karnataka",Karnataka,Social Welfare,0,Divyangjan Disability Monthly Pension,2,4,https://serviceonline.gov.in/karnataka,Monthly financial support and motorized tricycle allowance for disabled persons. Implemented by Karnataka government for citizen welfare.,2026-08-01
1080,karnataka-phase-2-antyodaya-subsidized-food-security,Karnataka Phase-2 Antyodaya Subsidized Food Security,"Department of Social Justice & Empowerment, Karnataka",Karnataka,Social Welfare,0,Antyodaya Subsidized Food Security,2,4,https://serviceonline.gov.in/karnataka,Subsidized monthly ration of 35kg foodgrains for poorest-of-poor households. Implemented by Karnataka government for citizen welfare.,2026-08-01
1081,karnataka-phase-2-sanitation-workers-rehabilitation-grant,Karnataka Phase-2 Sanitation Workers Rehabilitation Grant,"Department of Social Justice & Empowerment, Karnataka",Karnataka,Social Welfare,0,Sanitation Workers Rehabilitation Grant,3,4,https://serviceonline.gov.in/karnataka,Capital subsidy and skill retraining for sanitary workers and sewer workers. Implemented by Karnataka government for citizen welfare.,2026-08-01
1082,karnataka-phase-2-tribal-livelihood-forest-produce-grant,Karnataka Phase-2 Tribal Livelihood & Forest Produce Grant,"Department of Social Justice & Empowerment, Karnataka",Karnataka,Social Welfare,0,Tribal Livelihood & Forest Produce Grant,3,4,https://serviceonline.gov.in/karnataka,Direct procurement support and value addition subsidy for minor forest produce. Implemented by Karnataka government for citizen welfare.,2026-08-01
1083,karnataka-phase-2-youth-apprenticeship-monthly-stipend,Karnataka Phase-2 Youth Apprenticeship Monthly Stipend,"Department of Skill Development & Employment, Karnataka",Karnataka,Employment & Skills,0,Youth Apprenticeship Monthly Stipend,3,3,https://serviceonline.gov.in/karnataka,Direct government stipend top-up for technical industrial apprenticeships. Implemented by Karnataka government for citizen welfare.,2026-08-01
1084,karnataka-phase-2-artisan-craftsman-modern-tool-kit-grant,Karnataka Phase-2 Artisan & Craftsman Modern Tool Kit Grant,"Department of Skill Development & Employment, Karnataka",Karnataka,Employment & Skills,0,Artisan & Craftsman Modern Tool Kit Grant,3,3,https://serviceonline.gov.in/karnataka,Free motorized toolkits and collateral-free micro credit for traditional artisans. Implemented by Karnataka government for citizen welfare.,2026-08-01
1085,karnataka-phase-2-rural-youth-driving-heavy-machinery-training,Karnataka Phase-2 Rural Youth Driving & Heavy Machinery Training,"Department of Skill Development & Employment, Karnataka",Karnataka,Employment & Skills,0,Rural Youth Driving & Heavy Machinery Training,3,3,https://serviceonline.gov.in/karnataka,100% sponsored commercial vehicle and excavator driver training. Implemented by Karnataka government for citizen welfare.,2026-08-01
1086,karnataka-phase-2-it-emerging-tech-bootcamp-voucher,Karnataka Phase-2 IT & Emerging Tech Bootcamp Voucher,"Department of Skill Development & Employment, Karnataka",Karnataka,Employment & Skills,0,IT & Emerging Tech Bootcamp Voucher,3,3,https://serviceonline.gov.in/karnataka,"Full tuition sponsorship for AI, Cloud, and Software certification bootcamps. Implemented by Karnataka government for citizen welfare.",2026-08-01
1087,karnataka-phase-2-self-employment-micro-credit-guarantee,Karnataka Phase-2 Self-Employment Micro-Credit Guarantee,"Department of Skill Development & Employment, Karnataka",Karnataka,Employment & Skills,0,Self-Employment Micro-Credit Guarantee,3,3,https://serviceonline.gov.in/karnataka,Collateral-free subsidized loan up to ₹5 Lakh for starting local enterprises. Implemented by Karnataka government for citizen welfare.,2026-08-01
1088,karnataka-phase-2-pucca-house-construction-subsidy,Karnataka Phase-2 Pucca House Construction Subsidy,"Department of Housing & Urban Development, Karnataka",Karnataka,Housing,0,Pucca House Construction Subsidy,2,4,https://serviceonline.gov.in/karnataka,Direct installment financial grant for building disaster-resilient pucca home. Implemented by Karnataka government for citizen welfare.,2026-08-01
1089,karnataka-phase-2-rooftop-solar-green-energy-assistance,Karnataka Phase-2 Rooftop Solar & Green Energy Assistance,"Department of Housing & Urban Development, Karnataka",Karnataka,Housing,0,Rooftop Solar & Green Energy Assistance,2,4,https://serviceonline.gov.in/karnataka,Capital subsidy for grid-connected rooftop solar installation for homeowners. Implemented by Karnataka government for citizen welfare.,2026-08-01
1090,karnataka-phase-2-slum-rehabilitation-ews-flat-allocation,Karnataka Phase-2 Slum Rehabilitation & EWS Flat Allocation,"Department of Housing & Urban Development, Karnataka",Karnataka,Housing,0,Slum Rehabilitation & EWS Flat Allocation,2,4,https://serviceonline.gov.in/karnataka,Subsidized ownership allotment of 1BHK flats with basic civic amenities. Implemented by Karnataka government for citizen welfare.,2026-08-01
1091,karnataka-phase-2-rural-toilet-water-tap-incentive,Karnataka Phase-2 Rural Toilet & Water Tap Incentive,"Department of Housing & Urban Development, Karnataka",Karnataka,Housing,0,Rural Toilet & Water Tap Incentive,2,4,https://serviceonline.gov.in/karnataka,Financial assistance for individual household latrines and clean piped tap. Implemented by Karnataka government for citizen welfare.,2026-08-01
1092,karnataka-phase-2-micro-enterprise-collateral-free-loan,Karnataka Phase-2 Micro Enterprise Collateral-Free Loan,"Department of MSME & Industries, Karnataka",Karnataka,Business & Finance,0,Micro Enterprise Collateral-Free Loan,3,4,https://serviceonline.gov.in/karnataka,Guaranteed working capital and equipment loan up to ₹10 Lakh at subsidized interest. Implemented by Karnataka government for citizen welfare.,2026-08-01
1093,karnataka-phase-2-women-entrepreneur-startup-grant,Karnataka Phase-2 Women Entrepreneur Startup Grant,"Department of MSME & Industries, Karnataka",Karnataka,Business & Finance,0,Women Entrepreneur Startup Grant,3,4,https://serviceonline.gov.in/karnataka,Seed funding capital grant for innovative women-founded MSME ventures. Implemented by Karnataka government for citizen welfare.,2026-08-01
1094,karnataka-phase-2-export-promotion-quality-certification-subsidy,Karnataka Phase-2 Export Promotion & Quality Certification Subsidy,"Department of MSME & Industries, Karnataka",Karnataka,Business & Finance,0,Export Promotion & Quality Certification Subsidy,3,4,https://serviceonline.gov.in/karnataka,"Reimbursement for ISO, ZED, and international trade mark registration costs. Implemented by Karnataka government for citizen welfare.",2026-08-01
1095,karnataka-phase-2-credit-linked-capital-subsidy-for-tech-upgradation,Karnataka Phase-2 Credit Linked Capital Subsidy for Tech Upgradation,"Department of MSME & Industries, Karnataka",Karnataka,Business & Finance,0,Credit Linked Capital Subsidy for Tech Upgradation,3,4,https://serviceonline.gov.in/karnataka,15% upfront capital subsidy for machinery modernization in manufacturing. Implemented by Karnataka government for citizen welfare.,2026-08-01
1096,karnataka-phase-2-e-vehicle-green-mobility-subsidy,Karnataka Phase-2 E-Vehicle & Green Mobility Subsidy,"Department of Environment, Forests & Climate, Karnataka",Karnataka,General,0,E-Vehicle & Green Mobility Subsidy,2,3,https://serviceonline.gov.in/karnataka,Direct cash incentive on purchase of electric 2-wheelers and 3-wheelers. Implemented by Karnataka government for citizen welfare.,2026-08-01
1097,karnataka-phase-2-rainwater-harvesting-ground-water-recharge-grant,Karnataka Phase-2 Rainwater Harvesting & Ground Water Recharge Grant,"Department of Environment, Forests & Climate, Karnataka",Karnataka,General,0,Rainwater Harvesting & Ground Water Recharge Grant,2,3,https://serviceonline.gov.in/karnataka,Subsidized rooftop rainwater harvesting system for individual residences. Implemented by Karnataka government for citizen welfare.,2026-08-01
1098,karnataka-phase-2-bio-gas-cattle-dung-renewable-plant-subsidy,Karnataka Phase-2 Bio-Gas & Cattle Dung Renewable Plant Subsidy,"Department of Environment, Forests & Climate, Karnataka",Karnataka,General,0,Bio-Gas & Cattle Dung Renewable Plant Subsidy,3,3,https://serviceonline.gov.in/karnataka,Financial support for installing domestic Gobar-Dhan biogas units. Implemented by Karnataka government for citizen welfare.,2026-08-01
1099,karnataka-phase-3-kisan-samriddhi-crop-assistance,Karnataka Phase-3 Kisan Samriddhi & Crop Assistance,"Department of Agriculture & Farmers Welfare, Karnataka",Karnataka,Agriculture,0,Kisan Samriddhi & Crop Assistance,3,3,https://serviceonline.gov.in/karnataka,"Financial input subsidy for seed, fertilizer, and organic cultivation equipment. Implemented by Karnataka government for citizen welfare.",2026-08-01
1100,karnataka-phase-3-solar-krishi-pump-subsidy,Karnataka Phase-3 Solar Krishi Pump Subsidy,"Department of Agriculture & Farmers Welfare, Karnataka",Karnataka,Agriculture,0,Solar Krishi Pump Subsidy,3,3,https://serviceonline.gov.in/karnataka,Up to 90% capital subsidy for installing off-grid solar irrigation pumps. Implemented by Karnataka government for citizen welfare.,2026-08-01
1101,karnataka-phase-3-horticulture-drip-irrigation-grant,Karnataka Phase-3 Horticulture & Drip Irrigation Grant,"Department of Agriculture & Farmers Welfare, Karnataka",Karnataka,Agriculture,0,Horticulture & Drip Irrigation Grant,3,3,https://serviceonline.gov.in/karnataka,"Direct subsidy for drip, sprinkler, and precision micro-irrigation installation. Implemented by Karnataka government for citizen welfare.",2026-08-01
1102,karnataka-phase-3-dairy-cattle-development-incentive,Karnataka Phase-3 Dairy & Cattle Development Incentive,"Department of Agriculture & Farmers Welfare, Karnataka",Karnataka,Agriculture,0,Dairy & Cattle Development Incentive,3,3,https://serviceonline.gov.in/karnataka,Financial assistance for purchasing high-yield milch cows and buffaloes. Implemented by Karnataka government for citizen welfare.,2026-08-01
1103,karnataka-phase-3-fodder-cultivation-animal-care-grant,Karnataka Phase-3 Fodder Cultivation & Animal Care Grant,"Department of Agriculture & Farmers Welfare, Karnataka",Karnataka,Agriculture,0,Fodder Cultivation & Animal Care Grant,3,3,https://serviceonline.gov.in/karnataka,"Subsidized silage, quality seeds, and livestock health vaccination support. Implemented by Karnataka government for citizen welfare.",2026-08-01
1104,karnataka-phase-3-fisheries-pond-biofloc-support,Karnataka Phase-3 Fisheries Pond & Biofloc Support,"Department of Agriculture & Farmers Welfare, Karnataka",Karnataka,Agriculture,0,Fisheries Pond & Biofloc Support,3,3,https://serviceonline.gov.in/karnataka,"Capital grant for biofloc fish farming, fingerling supply, and aerators. Implemented by Karnataka government for citizen welfare.",2026-08-01
1105,karnataka-phase-3-soil-health-organic-farming-mission,Karnataka Phase-3 Soil Health & Organic Farming Mission,"Department of Agriculture & Farmers Welfare, Karnataka",Karnataka,Agriculture,0,Soil Health & Organic Farming Mission,3,3,https://serviceonline.gov.in/karnataka,Free soil nutrient testing kit and bio-compost financial top-up grant. Implemented by Karnataka government for citizen welfare.,2026-08-01
1106,karnataka-phase-3-farm-mechanization-rotavator-subsidy,Karnataka Phase-3 Farm Mechanization & Rotavator Subsidy,"Department of Agriculture & Farmers Welfare, Karnataka",Karnataka,Agriculture,0,Farm Mechanization & Rotavator Subsidy,3,3,https://serviceonline.gov.in/karnataka,"Up to 50% subsidy on modern harvesters, rotavators, and custom hiring centers. Implemented by Karnataka government for citizen welfare.",2026-08-01
1107,karnataka-phase-3-post-matric-merit-scholarship,Karnataka Phase-3 Post-Matric Merit Scholarship,"Department of Higher & School Education, Karnataka",Karnataka,Education,0,Post-Matric Merit Scholarship,3,4,https://serviceonline.gov.in/karnataka,Tuition fee waiver and maintenance stipend for higher collegiate education. Implemented by Karnataka government for citizen welfare.,2026-08-01
1108,karnataka-phase-3-free-digital-tablet-laptop-distribution,Karnataka Phase-3 Free Digital Tablet & Laptop Distribution,"Department of Higher & School Education, Karnataka",Karnataka,Education,0,Free Digital Tablet & Laptop Distribution,3,4,https://serviceonline.gov.in/karnataka,High-speed digital learning devices distributed to meritorious board students. Implemented by Karnataka government for citizen welfare.,2026-08-01
1109,karnataka-phase-3-competitive-exam-coaching-assistance,Karnataka Phase-3 Competitive Exam Coaching Assistance,"Department of Higher & School Education, Karnataka",Karnataka,Education,0,Competitive Exam Coaching Assistance,3,4,https://serviceonline.gov.in/karnataka,"100% sponsored classroom coaching for UPSC, PSC, JEE, and NEET exams. Implemented by Karnataka government for citizen welfare.",2026-08-01
1110,karnataka-phase-3-girl-child-higher-education-incentive,Karnataka Phase-3 Girl Child Higher Education Incentive,"Department of Higher & School Education, Karnataka",Karnataka,Education,0,Girl Child Higher Education Incentive,3,4,https://serviceonline.gov.in/karnataka,Direct milestone grant upon enrolling in undergraduate degree programs. Implemented by Karnataka government for citizen welfare.,2026-08-01
1111,karnataka-phase-3-technical-polytechnic-skill-stipend,Karnataka Phase-3 Technical & Polytechnic Skill Stipend,"Department of Higher & School Education, Karnataka",Karnataka,Education,0,Technical & Polytechnic Skill Stipend,3,4,https://serviceonline.gov.in/karnataka,Monthly allowance for students pursuing diploma and industrial training. Implemented by Karnataka government for citizen welfare.,2026-08-01
